time,biomass
1992-03-16 00:00:00,649338957229848.2
1992-04-15 12:00:00,566615037032164.8
1992-05-16 00:00:00,199197582931860.4
1992-06-15 12:00:00,64749662964712.42
1992-07-16 00:00:00,228080713246261.3
1992-08-16 00:00:00,486829220857539.3
1992-09-15 12:00:00,634915232858594.0
1992-10-16 00:00:00,868810065033164.1
1992-11-15 12:00:00,1232917366761116.0
1992-12-16 00:00:00,1441046666692027.0
1993-01-16 00:00:00,1558809140396367.5
1993-02-14 12:00:00,1276931396868402.8
1993-03-16 00:00:00,875986608285066.4
1993-04-15 12:00:00,637681913062270.4
1993-05-16 00:00:00,235839731335902.94
1993-06-15 12:00:00,111361862740882.7
1993-07-16 00:00:00,240359868648907.62
1993-08-16 00:00:00,401504478443802.0
1993-09-15 12:00:00,546678262900911.75
1993-10-16 00:00:00,727039823926606.2
1993-11-15 12:00:00,806986285367855.2
1993-12-16 00:00:00,1028592868618424.2
1994-01-16 00:00:00,887621278328870.0
1994-02-14 12:00:00,519233917690955.2
1994-03-16 00:00:00,409249940754921.1
1994-04-15 12:00:00,193225811409276.3
1994-05-16 00:00:00,115347472327143.3
1994-06-15 12:00:00,223240297945577.2
1994-07-16 00:00:00,427694572839810.9
1994-08-16 00:00:00,663077889279271.1
1994-09-15 12:00:00,783874793130159.2
1994-10-16 00:00:00,831652832437462.0
1994-11-15 12:00:00,725964215244789.6
1994-12-16 00:00:00,391206573224564.5
1995-01-16 00:00:00,389313213050116.06
1995-02-14 12:00:00,181288174092114.53
1995-03-16 00:00:00,136354693440961.38
1995-04-15 12:00:00,10386901681911.809
1995-05-16 00:00:00,14662274607025.555
1995-06-15 12:00:00,14761588248129.049
1995-07-16 00:00:00,86364495156933.25
1995-08-16 00:00:00,253961892252644.9
1995-09-15 12:00:00,425540064753706.5
1995-10-16 00:00:00,689276103231179.1
1995-11-15 12:00:00,1155825288424752.2
1995-12-16 00:00:00,1765721385484729.8
1996-01-16 00:00:00,2110027790391021.8
1996-02-14 12:00:00,1623472036491159.2
1996-03-16 00:00:00,1220873174935971.5
1996-04-15 12:00:00,753149925577014.8
1996-05-16 00:00:00,270979862002971.5
1996-06-15 12:00:00,170750037376507.62
1996-07-16 00:00:00,259153249681241.4
1996-08-16 00:00:00,392457136630005.8
1996-09-15 12:00:00,564405802173620.2
1996-10-16 00:00:00,749426675613637.5
1996-11-15 12:00:00,1273728086547603.2
1996-12-16 00:00:00,1990327415695840.0
1997-01-16 00:00:00,2609005276513871.5
1997-02-14 12:00:00,2266349340047833.0
1997-03-16 00:00:00,1575672613452224.2
1997-04-15 12:00:00,1023218843061284.9
1997-05-16 00:00:00,330861325714007.06
1997-06-15 12:00:00,155005928606851.78
1997-07-16 00:00:00,328382454261915.3
1997-08-16 00:00:00,509873002903038.4
1997-09-15 12:00:00,601809040802017.8
1997-10-16 00:00:00,568354136523083.8
1997-11-15 12:00:00,569605807250683.5
1997-12-16 00:00:00,1005998719391990.9
1998-01-16 00:00:00,2092230387575589.5
1998-02-14 12:00:00,2580601225656373.0
1998-03-16 00:00:00,1685631064183023.8
1998-04-15 12:00:00,311458132753097.44
1998-05-16 00:00:00,41471482205356.51
1998-06-15 12:00:00,33977530272252.28
1998-07-16 00:00:00,94260736655027.86
1998-08-16 00:00:00,217175740841754.44
1998-09-15 12:00:00,411352740984645.1
1998-10-16 00:00:00,842801780879238.4
1998-11-15 12:00:00,1617384528497486.0
1998-12-16 00:00:00,2804618131025716.0
1999-01-16 00:00:00,3683927220241667.0
1999-02-14 12:00:00,3520401994528124.0
1999-03-16 00:00:00,2762325056989447.0
1999-04-15 12:00:00,1737545657764825.5
1999-05-16 00:00:00,1378174876969516.0
1999-06-15 12:00:00,1307597153760763.8
1999-07-16 00:00:00,1586208870618628.5
1999-08-16 00:00:00,1689919453245838.8
1999-09-15 12:00:00,1715006015038749.2
1999-10-16 00:00:00,1650410227137968.0
1999-11-15 12:00:00,1712312117626684.0
1999-12-16 00:00:00,1427131353126905.0
2000-01-16 00:00:00,1031044256887609.8
2000-02-14 12:00:00,887422299136462.0
2000-03-16 00:00:00,787452282601414.2
2000-04-15 12:00:00,719154359299059.0
2000-05-16 00:00:00,572181370807945.0
