"","animal","Common_Name","Family_Common","selector_caption"
"304","Thalassarche_chrysostoma","Grey-headed Albatross","Diomedeidae (Albatrosses)","Thalassarche chrysostoma (grey-headed albatross)"
"305","Thalassarche_eremita","Chatham Albatross","Diomedeidae (Albatrosses)","Thalassarche eremita (Chatham albatross)"
"306","Thalassarche_impavida","Campbell Albatross","Diomedeidae (Albatrosses)","Thalassarche impavida (Campbell albatross)"
"307","Thalassarche_melanophrys","Black-browed Albatross","Diomedeidae (Albatrosses)","Thalassarche melanophrys (black-browed albatross)"
"308","Thalassarche_salvini","Salvin's Albatross","Diomedeidae (Albatrosses)","Thalassarche salvini (Salvin's albatross)"
"309","Thalassarche_steadi","White-capped Albatross","Diomedeidae (Albatrosses)","Thalassarche steadi (white-capped albatross)"
"310","Thalassoica_antarctica","Antarctic Petrel","Procellariidae (Petrels, Prions & Shearwaters)","Thalassoica antarctica (Antarctic petrel)"
"311","Uria_aalge","Common Murre","Alcidae (Auks/ Alcids)","Uria aalge (common murre)"
"312","Uria_lomvia","Brünnich's Guillemot","Alcidae (Auks/ Alcids)","Uria lomvia (Brunnich's guillemot)"
"313","Xema_sabini","Sabine's Gull","Laridae (Gulls, Terns & Skimmers)","Xema sabini (Sabine's gull)"
