IslandID,Island,Archipelago,#sp,Extant,Extirpated,Country/ Territory ,Area (sq. km),Income Group (GDP per Cap.),Human Presence,Habitation,Invasive Vertebrate Presence,Latitudinal Zone,Biogeographic Realm,Biome,Marine Realm,Marine Province,Marine Ecoregion
1214790,Matiro,Caroline Islands (Kapingamarangi Atoll),1,1,,FM,0.050,Lower middle income,Yes,11 - 100,Unknown,Tropical,None,None,Central Indo-Pacific,Tropical Northwestern Pacific,East Caroline Islands
466890,Dodo,Marshall Islands (Arno Atoll),1,1,,MH,0.277,Upper middle income,Yes,11 - 100,Unknown,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Eastern Indo-Pacific,"Marshall, Gilbert and Ellis Islands",Marshall Islands
14980,South-west Island,Pellew Islands,1,1,,AU,91.693,High income,No,None,Present,Tropical,Australasia,"Tropical and Subtropical Grasslands, Savannas and Shrublands",Central Indo-Pacific,Sahul Shelf,Arnhem Coast to Gulf of Carpenteria
15030,Centre,Pellew Islands,1,1,,AU,84.547,High income,No,None,Present,Tropical,Australasia,"Tropical and Subtropical Grasslands, Savannas and Shrublands",Central Indo-Pacific,Sahul Shelf,Arnhem Coast to Gulf of Carpenteria
19620,North,Pellew Islands,1,1,,AU,55.485,High income,No,None,Present,Tropical,Australasia,"Tropical and Subtropical Grasslands, Savannas and Shrublands",Central Indo-Pacific,Sahul Shelf,Arnhem Coast to Gulf of Carpenteria
19920,Pagan,Mariana Islands,3,3,,MP,47.895,High income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,Mariana Islands
27610,Anatahan,Mariana Islands,2,2,,MP,33.988,High income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,Mariana Islands
30350,Gloucester,Queensland Islands,1,1,,AU,26.420,High income,No,None,Present,Tropical,Australasia,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef
32420,Ngeruktabel,Palau,2,2,,PW,18.335,Upper middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,West Caroline Islands
36450,Late,Tonga,1,1,,TO,17.299,Upper middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Tropical Southwestern Pacific,Tonga Islands
