Island_GID_Code,Corrected_Island_Name,Region_Archipelago,ISO_Code_Correct,Corrected_Latitude,Corrected_Longitude,Corrected_Area_KM2,IC_Region,Human_Habitation,Human_Habitation_Category,Human_Habitation_Number,Human_Habitation_Type,Human_Habitation_Notes,Common_Name,Scientific_Name,Invasive_Status
2110,Fraser,Queensland Islands,AU,-25.2475,153.150833,1673.3312,2,Yes,101 - 1000,361,Multiple,2006 census; tourist destination and permanent residents,Common Starling,Sturnus vulgaris,Confirmed
2110,Fraser,Queensland Islands,AU,-25.2475,153.150833,1673.3312,2,Yes,101 - 1000,361,Multiple,2006 census; tourist destination and permanent residents,Domestic Cat,Felis catus,Confirmed
2110,Fraser,Queensland Islands,AU,-25.2475,153.150833,1673.3312,2,Yes,101 - 1000,361,Multiple,2006 census; tourist destination and permanent residents,Domestic Dog,Canis familiaris,Confirmed
2110,Fraser,Queensland Islands,AU,-25.2475,153.150833,1673.3312,2,Yes,101 - 1000,361,Multiple,2006 census; tourist destination and permanent residents,European Goldfinch,Carduelis carduelis,Confirmed
2110,Fraser,Queensland Islands,AU,-25.2475,153.150833,1673.3312,2,Yes,101 - 1000,361,Multiple,2006 census; tourist destination and permanent residents,Horse,Equus caballus,Confirmed
2110,Fraser,Queensland Islands,AU,-25.2475,153.150833,1673.3312,2,Yes,101 - 1000,361,Multiple,2006 census; tourist destination and permanent residents,House Crow,Corvus splendens,Confirmed
2110,Fraser,Queensland Islands,AU,-25.2475,153.150833,1673.3312,2,Yes,101 - 1000,361,Multiple,2006 census; tourist destination and permanent residents,House Mouse,Mus musculus,Confirmed
2110,Fraser,Queensland Islands,AU,-25.2475,153.150833,1673.3312,2,Yes,101 - 1000,361,Multiple,2006 census; tourist destination and permanent residents,House Sparrow,Passer domesticus,Confirmed
2110,Fraser,Queensland Islands,AU,-25.2475,153.150833,1673.3312,2,Yes,101 - 1000,361,Multiple,2006 census; tourist destination and permanent residents,Mallard,Anas platyrhynchos,Confirmed
2110,Fraser,Queensland Islands,AU,-25.2475,153.150833,1673.3312,2,Yes,101 - 1000,361,Multiple,2006 census; tourist destination and permanent residents,Rock Dove,Columba livia,Confirmed
2110,Fraser,Queensland Islands,AU,-25.2475,153.150833,1673.3312,2,Yes,101 - 1000,361,Multiple,2006 census; tourist destination and permanent residents,Wild Boar/Pig,Sus scrofa,Confirmed
9980,French,Port Phillip Bay,AU,-38.353333,145.38625,172.1333,2,Yes,11 - 100,89,Multiple,2006 demographics; no main water or electricity; general store post office and roads,Common Myna,Acridotheres tristis,Confirmed
9980,French,Port Phillip Bay,AU,-38.353333,145.38625,172.1333,2,Yes,11 - 100,89,Multiple,2006 demographics; no main water or electricity; general store post office and roads,Common Pheasant,Phasianus colchicus,Confirmed
9980,French,Port Phillip Bay,AU,-38.353333,145.38625,172.1333,2,Yes,11 - 100,89,Multiple,2006 demographics; no main water or electricity; general store post office and roads,Common Starling,Sturnus vulgaris,Confirmed
9980,French,Port Phillip Bay,AU,-38.353333,145.38625,172.1333,2,Yes,11 - 100,89,Multiple,2006 demographics; no main water or electricity; general store post office and roads,Domestic Cat,Felis catus,Confirmed
9980,French,Port Phillip Bay,AU,-38.353333,145.38625,172.1333,2,Yes,11 - 100,89,Multiple,2006 demographics; no main water or electricity; general store post office and roads,Domestic Cow,Bos taurus,Confirmed
9980,French,Port Phillip Bay,AU,-38.353333,145.38625,172.1333,2,Yes,11 - 100,89,Multiple,2006 demographics; no main water or electricity; general store post office and roads,Domestic Dog,Canis familiaris,Confirmed
9980,French,Port Phillip Bay,AU,-38.353333,145.38625,172.1333,2,Yes,11 - 100,89,Multiple,2006 demographics; no main water or electricity; general store post office and roads,Domestic Sheep,Ovis aries,Confirmed
9980,French,Port Phillip Bay,AU,-38.353333,145.38625,172.1333,2,Yes,11 - 100,89,Multiple,2006 demographics; no main water or electricity; general store post office and roads,Eurasian Tree Sparrow,Passer montanus,Confirmed
9980,French,Port Phillip Bay,AU,-38.353333,145.38625,172.1333,2,Yes,11 - 100,89,Multiple,2006 demographics; no main water or electricity; general store post office and roads,European Goldfinch,Carduelis carduelis,Confirmed
9980,French,Port Phillip Bay,AU,-38.353333,145.38625,172.1333,2,Yes,11 - 100,89,Multiple,2006 demographics; no main water or electricity; general store post office and roads,European Rabbit,Oryctolagus cuniculus,Confirmed
9980,French,Port Phillip Bay,AU,-38.353333,145.38625,172.1333,2,Yes,11 - 100,89,Multiple,2006 demographics; no main water or electricity; general store post office and roads,Ferret,Mustela furo,Confirmed
9980,French,Port Phillip Bay,AU,-38.353333,145.38625,172.1333,2,Yes,11 - 100,89,Multiple,2006 demographics; no main water or electricity; general store post office and roads,Goat,Capra hircus,Confirmed
9980,French,Port Phillip Bay,AU,-38.353333,145.38625,172.1333,2,Yes,11 - 100,89,Multiple,2006 demographics; no main water or electricity; general store post office and roads,Horse,Equus caballus,Confirmed
9980,French,Port Phillip Bay,AU,-38.353333,145.38625,172.1333,2,Yes,11 - 100,89,Multiple,2006 demographics; no main water or electricity; general store post office and roads,House Mouse,Mus musculus,Confirmed
9980,French,Port Phillip Bay,AU,-38.353333,145.38625,172.1333,2,Yes,11 - 100,89,Multiple,2006 demographics; no main water or electricity; general store post office and roads,House Sparrow,Passer domesticus,Confirmed
9980,French,Port Phillip Bay,AU,-38.353333,145.38625,172.1333,2,Yes,11 - 100,89,Multiple,2006 demographics; no main water or electricity; general store post office and roads,Llama,Lama glama,Confirmed
9980,French,Port Phillip Bay,AU,-38.353333,145.38625,172.1333,2,Yes,11 - 100,89,Multiple,2006 demographics; no main water or electricity; general store post office and roads,Red Junglefowl,Gallus gallus,Confirmed
9980,French,Port Phillip Bay,AU,-38.353333,145.38625,172.1333,2,Yes,11 - 100,89,Multiple,2006 demographics; no main water or electricity; general store post office and roads,Rock Dove,Columba livia,Confirmed
9980,French,Port Phillip Bay,AU,-38.353333,145.38625,172.1333,2,Yes,11 - 100,89,Multiple,2006 demographics; no main water or electricity; general store post office and roads,Sambar,Cervus unicolor,Confirmed
9980,French,Port Phillip Bay,AU,-38.353333,145.38625,172.1333,2,Yes,11 - 100,89,Multiple,2006 demographics; no main water or electricity; general store post office and roads,Unspecified Peacock,Pavo spp.,Confirmed
9980,French,Port Phillip Bay,AU,-38.353333,145.38625,172.1333,2,Yes,11 - 100,89,Multiple,2006 demographics; no main water or electricity; general store post office and roads,Wild Boar/Pig,Sus scrofa,Confirmed
49530,Garden,Western Australia,AU,-32.197917,115.675416,12.6802,7,Yes,1001 - 10000,,Military,Australian naval support facility; access from public must be sponsored by military,Domestic Cat,Felis catus,Suspected
49530,Garden,Western Australia,AU,-32.197917,115.675416,12.6802,7,Yes,1001 - 10000,,Military,Australian naval support facility; access from public must be sponsored by military,European Rabbit,Oryctolagus cuniculus,Confirmed
49530,Garden,Western Australia,AU,-32.197917,115.675416,12.6802,7,Yes,1001 - 10000,,Military,Australian naval support facility; access from public must be sponsored by military,House Mouse,Mus musculus,Confirmed
49530,Garden,Western Australia,AU,-32.197917,115.675416,12.6802,7,Yes,1001 - 10000,,Military,Australian naval support facility; access from public must be sponsored by military,Red Fox,Vulpes vulpes,Suspected
100000004,Gilbert,Abrolhos Islands (Easter Group),AU,-28.667,113.828,0.0237,7,No,None,0,None,no census information found; estimate based on GE PRO,Unknown,Unknown,Unknown
30350,Gloucester,Queensland Islands,AU,-20.013319,148.458319,28.3955,2,No,None,0,None,National Park; camping permited by permit only; GEPRO shows no permanent structures,Cane Toad,Bufo marinus,Confirmed
854320,Goose,Spencer Gulf,AU,-34.458361,137.368333,0.1022,7,No,None,0,None,uninhabited by humans; GEPRO no permanent structures; small rocky island,Common Starling,Sturnus vulgaris,Confirmed
854320,Goose,Spencer Gulf,AU,-34.458361,137.368333,0.1022,7,No,None,0,None,uninhabited by humans; GEPRO no permanent structures; small rocky island,Domestic Cat,Felis catus,Confirmed
854320,Goose,Spencer Gulf,AU,-34.458361,137.368333,0.1022,7,No,None,0,None,uninhabited by humans; GEPRO no permanent structures; small rocky island,House Mouse,Mus musculus,Confirmed
854320,Goose,Spencer Gulf,AU,-34.458361,137.368333,0.1022,7,No,None,0,None,uninhabited by humans; GEPRO no permanent structures; small rocky island,House Sparrow,Passer domesticus,Confirmed
854320,Goose,Spencer Gulf,AU,-34.458361,137.368333,0.1022,7,No,None,0,None,uninhabited by humans; GEPRO no permanent structures; small rocky island,Rock Dove,Columba livia,Confirmed
1387200,Gregory,Abrolhos Islands (Pelsaert Group),AU,-28.890847,114.0125,0.0408,7,No,None,0,None,no census information found; estimate based on GE PRO,Unknown,Unknown,Unknown
1700,Groote Eylandt,Groote Eylandt (Northern Territory),AU,-13.980014,136.641236,2336.6877,7,Yes,1001 - 10000,1539,Multiple,2007 demographics,Black Rat,Rattus rattus,Confirmed
1700,Groote Eylandt,Groote Eylandt (Northern Territory),AU,-13.980014,136.641236,2336.6877,7,Yes,1001 - 10000,1539,Multiple,2007 demographics,Common House Gecko,"Hemidactylus frenatus
Hemidactylus frenatus",Confirmed
1700,Groote Eylandt,Groote Eylandt (Northern Territory),AU,-13.980014,136.641236,2336.6877,7,Yes,1001 - 10000,1539,Multiple,2007 demographics,Domestic Cat,Felis catus,Confirmed
1700,Groote Eylandt,Groote Eylandt (Northern Territory),AU,-13.980014,136.641236,2336.6877,7,Yes,1001 - 10000,1539,Multiple,2007 demographics,Grey Wolf,Canis lupus,Confirmed
1700,Groote Eylandt,Groote Eylandt (Northern Territory),AU,-13.980014,136.641236,2336.6877,7,Yes,1001 - 10000,1539,Multiple,2007 demographics,House Mouse,Mus musculus,Suspected
1700,Groote Eylandt,Groote Eylandt (Northern Territory),AU,-13.980014,136.641236,2336.6877,7,Yes,1001 - 10000,1539,Multiple,2007 demographics,Rusa Deer,Cervus timorensis,Confirmed
797190,Gun,Abrolhos Islands (Pelsaert Group),AU,-28.883333,113.856222,0.1147,7,No,None,0,None,stone jetty for guano export still existing,Unknown,Unknown,Unknown
99800,Hayman,Cumberland Islands,AU,-20.050847,148.890403,3.8546,2,Yes,101 - 1000,,Permanent Community,estimated range given amenities and dwellings on resort,Black Rat,Rattus rattus,Confirmed
99800,Hayman,Cumberland Islands,AU,-20.050847,148.890403,3.8546,2,Yes,101 - 1000,,Permanent Community,estimated range given amenities and dwellings on resort,Cane Toad,Bufo marinus,Confirmed
99800,Hayman,Cumberland Islands,AU,-20.050847,148.890403,3.8546,2,Yes,101 - 1000,,Permanent Community,estimated range given amenities and dwellings on resort,Common House Gecko,"Hemidactylus frenatus
Hemidactylus frenatus",Confirmed
99800,Hayman,Cumberland Islands,AU,-20.050847,148.890403,3.8546,2,Yes,101 - 1000,,Permanent Community,estimated range given amenities and dwellings on resort,House Mouse,Mus musculus,Confirmed
1669400,Helms,Abrolhos Islands (Easter Group),AU,-28.667916,113.86375,0.0193,7,No,None,0,None,no census information found; estimate based on GE PRO,Unknown,Unknown,Unknown
100000040,Hibbertia,Montebello Islands,AU,-20.386323,115.530921,0.01952,7,No,None,0,None,no census information found; estimate based on GEPRO; small island with no permanent structure; part of a conservation park; Montebello Islands generally undisturbed with relatively low human usage,Unknown,Unknown,Unknown
902200,Hildebrand,Percy Islands,AU,-21.650861,150.226652,0.0931,2,No,None,0,None,no census information found; estimate based on GE PRO,Unknown,Unknown,Unknown
15520,Inglis,English Company Islands (Northern Territory),AU,-12.025861,136.25709,88.0741,7,Yes,Unknown,,Permanent Community,no census information found; only settlements are two small family outstations,Domestic Cow,Bos taurus,Confirmed
