"","Atoll_Island","Species","Census","Value.high.nn","Value.high.nn.q2.5","Value.high.nn.q97.5","Value.low.nn","Value.low.nn.q2.5","Value.low.nn.q.97.5","Size_Ha","Season.length","Mass","Defecation.rate","NitrogenInput.Current","NitrogenInput.high.nn","NitrogenInput.low.nn"
"253","Peros_Banhos_Fouquet","Sula_dactylatra",0,0,0,0,0,0,0,2,273,2.1,38.5800195275746,0,0,0
"254","Peros_Banhos_Mapou_de_Coin","Sula_dactylatra",0,0,0,0,0,0,0,2,273,2.1,38.5800195275746,0,0,0
"255","Salomon_Islands_Boddam","Sula_dactylatra",0,0,0,0,0,0,0,108.5,273,2.1,38.5800195275746,0,0,0
"256","Salomon_Islands_Diable","Sula_dactylatra",0,0,0,0,0,0,0,0.5,273,2.1,38.5800195275746,0,0,0
"257","Salomon_Islands_Anglaise","Sula_dactylatra",0,0,0,0,0,0,0,75.5,273,2.1,38.5800195275746,0,0,0
"260","Salomon_Islands_Takamaka","Sula_dactylatra",0,0,0,0,0,0,0,44,273,2.1,38.5800195275746,0,0,0
"261","Salomon_Islands_Fouquet","Sula_dactylatra",0,0,0,0,0,0,0,39.5,273,2.1,38.5800195275746,0,0,0
"262","Salomon_Islands_Sepulture","Sula_dactylatra",0,0,0,0,0,0,0,0.5,273,2.1,38.5800195275746,0,0,0
"265","Salomon_Islands_Poule","Sula_dactylatra",0,0,0,0,0,0,0,0.5,273,2.1,38.5800195275746,0,0,0
"272","Great_Chagos_Bank_Eagle_Island","Sula_sula",10,173.362991973915,14.3017329480116,1696.79273794992,569.323229996299,61.464022484542,4343.58354490479,243.5,336,1.15,26.4,0.0659360328542094,1.14308679344961,3.75389151977006
"278","Peros_Banhos_Coin","Sula_sula",0,231.976356577111,29.8790863432545,1772.24338111256,761.809236824467,106.386236278575,5101.00262565138,127.5,336,1.15,26.4,0,2.92115981397702,9.59307474849665
"280","Peros_Banhos_Monpatre_complex","Sula_sula",0,133.735963536702,19.4430773405865,869.02162953081,443.72708186902,78.3138825845206,2516.21955877275,4.5,336,1.15,26.4,0,47.715279969562,158.316143104218
"281","Peros_Banhos_Poule","Sula_sula",0,250.54724323595,31.0457558511015,2142.58752792236,824.131110447623,124.91513905978,5569.14864375254,108,336,1.15,26.4,0,3.72466872424473,12.2516429720624
"282","Peros_Banhos_Petit_Souer","Sula_sula",0,207.169170786491,37.0158577328676,1210.05438560663,684.606951504238,136.479546341982,3547.56821938267,41.5,336,1.15,26.4,0,8.01491295591693,26.4859153728867
"283","Peros_Banhos_Grand_Souer","Sula_sula",4,228.332542637784,32.2045959243731,1549.19801823859,737.429168235862,129.300070999816,4363.36873946999,64,336,1.15,26.4,0.1003464,5.72808716413703,18.4995905718658
"288","Peros_Banhos_Pierre","Sula_sula",3,265.487575829202,29.4231450216184,2468.2400534788,872.514293767393,111.487709287643,6555.57783012053,150,336,1.15,26.4,0.032110848,2.84167706444666,9.33905795499737
"289","Peros_Banhos_Petite_Mapou","Sula_sula",22,158.16939922228,28.676679959187,836.670197367638,516.617850879271,110.888004712316,2361.29410026057,10,336,1.15,26.4,3.53219328,25.3947676833898,82.9451864183547
"290","Peros_Banhos_Grande_Mapou","Sula_sula",10,176.664901913187,32.026280493068,937.893379441712,585.683102998501,126.981837584787,2538.03824793782,19.5,336,1.15,26.4,0.823355076923077,14.545794390434,48.2225156321877
"291","Peros_Banhos_Diamant","Sula_sula",12,239.799454055822,32.6688359262154,1861.48421376419,787.388212366902,133.18959133742,4689.14324745064,88.5,336,1.15,26.4,0.21770066440678,4.35037503936129,14.2845780815284
"292","Peros_Banhos_Passe","Sula_sula",54,267.893764101346,58.6762800208392,1702.7149371679,879.761830004607,232.062599819629,5309.39825824761,22.5,336,1.15,26.4,3.85330176,19.1162131982359,62.7775519988439
"293","Peros_Banhos_Moresby","Sula_sula",540,289.746391638853,51.0984614218014,2501.71522047383,951.525753503524,232.671550997798,5873.62037377421,43.5,336,1.15,26.4,19.9308711724138,10.6942555637514,35.1198837228013
"301","Peros_Banhos_Yeye","Sula_sula",0,205.609282418833,31.996189699593,1323.92808888932,675.219892383519,129.425904540953,3344.91980695994,58.5,336,1.15,26.4,0,5.6429815514019,18.5315242144475
"306","Peros_Banhos_Fouquet","Sula_sula",0,113.627732411553,11.8100862551319,1101.21888006992,373.152925530004,41.9276987434392,3166.992413025,2,336,1.15,26.4,0,91.2170711013013,299.556421811232
"307","Peros_Banhos_Mapou_de_Coin","Sula_sula",0,113.933503348417,12.2864359605309,931.274863465932,377.157547266826,47.87674804545,2834.02912915563,2,336,1.15,26.4,0,91.4625352032127,302.771216808447
"308","Salomon_Islands_Boddam","Sula_sula",0,269.615289049956,44.0989955045927,1881.58505558198,885.415309637731,141.741169585234,6178.50615310696,108.5,336,1.15,26.4,0,3.98966615905954,13.1020444353226
"309","Salomon_Islands_Diable","Sula_sula",0,87.131630523277,4.59887435021343,1478.18343409352,286.139854645681,17.2209180624997,4597.25825929917,0.5,336,1.15,26.4,0,279.787054372511,918.819337926956
"310","Salomon_Islands_Anglaise","Sula_sula",0,202.869374752714,29.7373869667553,1264.4701537698,666.222048814913,107.911428458722,3553.86073872266,75.5,336,1.15,26.4,0,4.31411103082082,14.1675198302942
"313","Salomon_Islands_Takamaka","Sula_sula",302,262.845602607635,44.672035369855,1984.5409091196,863.183691992458,205.838870973916,4784.20642146342,44,336,1.15,26.4,11.0198592,9.59113090091156,31.497227647328
"314","Salomon_Islands_Fouquet","Sula_sula",17,188.30596684844,31.8853148312688,1031.34550690707,618.395887455962,133.065384958931,2669.1370104561,39.5,336,1.15,26.4,0.69099293164557,7.65400541640923,25.1357168935741
"315","Salomon_Islands_Sepulture","Sula_sula",0,88.3304852917757,4.62893414586777,1503.36930172121,290.076887926698,16.2480442010196,4806.29628226899,0.5,336,1.15,26.4,0,283.636678697044,931.461485652723
"318","Salomon_Islands_Poule","Sula_sula",0,87.1193559817274,4.56628609808575,1598.74671675414,286.099545110397,16.0768378869267,5088.2185239234,0.5,336,1.15,26.4,0,279.747639778714,918.68990059091
