"","Atoll_Island","Species","Census","Value.high.nn","Value.high.nn.q2.5","Value.high.nn.q97.5","Value.low.nn","Value.low.nn.q2.5","Value.low.nn.q.97.5","Size_Ha","Season.length","Mass","Defecation.rate","NitrogenInput.Current","NitrogenInput.high.nn","NitrogenInput.low.nn"
"146","Peros_Banhos_Vache_Marine","Phaethon_lepturus",0,0,0,0,0,0,0,8,119.5,0.32,11.7925784424493,0,0,0
"147","Peros_Banhos_Fouquet","Phaethon_lepturus",0,0,0,0,0,0,0,2,119.5,0.32,11.7925784424493,0,0,0
"148","Peros_Banhos_Mapou_de_Coin","Phaethon_lepturus",0,0,0,0,0,0,0,2,119.5,0.32,11.7925784424493,0,0,0
"149","Salomon_Islands_Boddam","Phaethon_lepturus",1,1,1,1,1,1,1,108.5,119.5,0.32,11.7925784424493,0.00235085322968624,0.00235085322968624,0.00235085322968624
"150","Salomon_Islands_Diable","Phaethon_lepturus",0,0,0,0,0,0,0,0.5,119.5,0.32,11.7925784424493,0,0,0
"151","Salomon_Islands_Anglaise","Phaethon_lepturus",0,0,0,0,0,0,0,75.5,119.5,0.32,11.7925784424493,0,0,0
"152","Salomon_Islands_Passe","Phaethon_lepturus",2,2,2,2,2,2,2,26,119.5,0.32,11.7925784424493,0.019620582724689,0.019620582724689,0.019620582724689
"153","Salomon_Islands_Mapou","Phaethon_lepturus",1,1,1,1,1,1,1,4,119.5,0.32,11.7925784424493,0.0637668938552394,0.0637668938552394,0.0637668938552394
"154","Salomon_Islands_Takamaka","Phaethon_lepturus",5,5,5,5,5,5,5,44,119.5,0.32,11.7925784424493,0.0289849517523815,0.0289849517523815,0.0289849517523815
"155","Salomon_Islands_Fouquet","Phaethon_lepturus",1,1,1,1,1,1,1,39.5,119.5,0.32,11.7925784424493,0.00645740697268247,0.00645740697268247,0.00645740697268247
"156","Salomon_Islands_Sepulture","Phaethon_lepturus",0,0,0,0,0,0,0,0.5,119.5,0.32,11.7925784424493,0,0,0
"157","Salomon_Islands_Jacobin","Phaethon_lepturus",0,0,0,0,0,0,0,1.5,119.5,0.32,11.7925784424493,0,0,0
"158","Salomon_Islands_Sel","Phaethon_lepturus",0,0,0,0,0,0,0,2,119.5,0.32,11.7925784424493,0,0,0
"159","Salomon_Islands_Poule","Phaethon_lepturus",0,0,0,0,0,0,0,0.5,119.5,0.32,11.7925784424493,0,0,0
"160","Diego_Garcia_Diego_Garcia","Phaethon_rubricauda",5,5,5,5,5,5,5,2719.5,130,0.675,18.872336185811,0.000816448005979287,0.000816448005979287,0.000816448005979287
"161","Diego_Garcia_West_Island","Phaethon_rubricauda",0,0,0,0,0,0,0,2,130,0.675,18.872336185811,0,0,0
"162","Diego_Garcia_Middle_Island","Phaethon_rubricauda",0,0,0,0,0,0,0,5,130,0.675,18.872336185811,0,0,0
"163","Diego_Garcia_East_Island","Phaethon_rubricauda",0,0,0,0,0,0,0,7.5,130,0.675,18.872336185811,0,0,0
"164","Great_Chagos_Bank_Danger","Phaethon_rubricauda",0,0,0,0,0,0,0,66,130,0.675,18.872336185811,0,0,0
"165","Great_Chagos_Bank_Sea_Cow","Phaethon_rubricauda",0,0,0,0,0,0,0,18,130,0.675,18.872336185811,0,0,0
"166","Great_Chagos_Bank_Eagle_Island","Phaethon_rubricauda",0,0,0,0,0,0,0,243.5,130,0.675,18.872336185811,0,0,0
