"","Atoll_Island","Species","Census","Value.high.nn","Value.low.nn","Size_Ha","Season.length","Mass","Defecation.rate","NitrogenInput.Current","NitrogenInput.high.nn","NitrogenInput.low.nn"
"152","Peros_Banhos_Vache_Marine","Phaethon_lepturus",0,0,0,8,119.5,0.32,11.7925784424493,0,0,0
"153","Peros_Banhos_Fouquet","Phaethon_lepturus",0,0,0,2,119.5,0.32,11.7925784424493,0,0,0
"154","Peros_Banhos_Mapou_de_Coin","Phaethon_lepturus",0,0,0,2,119.5,0.32,11.7925784424493,0,0,0
"155","Salomon_Islands_Boddam","Phaethon_lepturus",1,1,1,108.5,119.5,0.32,11.7925784424493,0.00235085322968624,0.00235085322968624,0.00235085322968624
"156","Salomon_Islands_Diable","Phaethon_lepturus",0,0,0,0.5,119.5,0.32,11.7925784424493,0,0,0
"157","Salomon_Islands_Anglaise","Phaethon_lepturus",0,0,0,75.5,119.5,0.32,11.7925784424493,0,0,0
"158","Salomon_Islands_Passe","Phaethon_lepturus",2,2,2,26,119.5,0.32,11.7925784424493,0.019620582724689,0.019620582724689,0.019620582724689
"159","Salomon_Islands_Mapou","Phaethon_lepturus",1,1,1,4,119.5,0.32,11.7925784424493,0.0637668938552394,0.0637668938552394,0.0637668938552394
"160","Salomon_Islands_Takamaka","Phaethon_lepturus",5,5,5,44,119.5,0.32,11.7925784424493,0.0289849517523815,0.0289849517523815,0.0289849517523815
"161","Salomon_Islands_Fouquet","Phaethon_lepturus",1,1,1,39.5,119.5,0.32,11.7925784424493,0.00645740697268247,0.00645740697268247,0.00645740697268247
"162","Salomon_Islands_Sepulture","Phaethon_lepturus",0,0,0,0.5,119.5,0.32,11.7925784424493,0,0,0
"163","Salomon_Islands_Jacobin","Phaethon_lepturus",0,0,0,1.5,119.5,0.32,11.7925784424493,0,0,0
"164","Salomon_Islands_Sel","Phaethon_lepturus",0,0,0,2,119.5,0.32,11.7925784424493,0,0,0
"165","Salomon_Islands_Poule","Phaethon_lepturus",0,0,0,0.5,119.5,0.32,11.7925784424493,0,0,0
"166","Diego_Garcia_Diego_Garcia","Phaethon_rubricauda",5,5,5,2719.5,130,0.675,18.872336185811,0.000816448005979287,0.000816448005979287,0.000816448005979287
"167","Diego_Garcia_West_Island","Phaethon_rubricauda",0,0,0,2,130,0.675,18.872336185811,0,0,0
"168","Diego_Garcia_Middle_Island","Phaethon_rubricauda",0,0,0,5,130,0.675,18.872336185811,0,0,0
"169","Diego_Garcia_East_Island","Phaethon_rubricauda",0,0,0,7.5,130,0.675,18.872336185811,0,0,0
"170","Egmont_Islands_Sudest_complex","Phaethon_rubricauda",0,0,0,NA,130,0.675,18.872336185811,NA,NA,NA
"171","Egmont_Islands_Lubine_complex","Phaethon_rubricauda",0,0,0,NA,130,0.675,18.872336185811,NA,NA,NA
"172","Great_Chagos_Bank_Danger","Phaethon_rubricauda",0,0,0,66,130,0.675,18.872336185811,0,0,0
"173","Great_Chagos_Bank_Sea_Cow","Phaethon_rubricauda",0,0,0,18,130,0.675,18.872336185811,0,0,0
"174","Great_Chagos_Bank_Eagle_Island","Phaethon_rubricauda",0,0,0,243.5,130,0.675,18.872336185811,0,0,0
"175","Great_Chagos_Bank_North_Brother","Phaethon_rubricauda",0,0,0,6,130,0.675,18.872336185811,0,0,0
"176","Great_Chagos_Bank_Middle_Brother","Phaethon_rubricauda",0,0,0,8,130,0.675,18.872336185811,0,0,0
"177","Great_Chagos_Bank_Resurgent","Phaethon_rubricauda",0,0,0,0.5,130,0.675,18.872336185811,0,0,0
"178","Great_Chagos_Bank_South_Brother","Phaethon_rubricauda",0,0,0,23,130,0.675,18.872336185811,0,0,0
"179","Great_Chagos_Bank_Nelson's_Island","Phaethon_rubricauda",0,0,0,81,130,0.675,18.872336185811,0,0,0
"180","Peros_Banhos_Coin","Phaethon_rubricauda",0,0,0,127.5,130,0.675,18.872336185811,0,0,0
"181","Peros_Banhos_Anglaise","Phaethon_rubricauda",0,0,0,NA,130,0.675,18.872336185811,NA,NA,NA
"182","Peros_Banhos_Monpatre_complex","Phaethon_rubricauda",0,0,0,4.5,130,0.675,18.872336185811,0,0,0
"183","Peros_Banhos_Poule","Phaethon_rubricauda",0,0,0,108,130,0.675,18.872336185811,0,0,0
"184","Peros_Banhos_Petit_Souer","Phaethon_rubricauda",0,0,0,41.5,130,0.675,18.872336185811,0,0,0
"185","Peros_Banhos_Grand_Souer","Phaethon_rubricauda",0,0,0,64,130,0.675,18.872336185811,0,0,0
"186","Peros_Banhos_Finon","Phaethon_rubricauda",0,0,0,1,130,0.675,18.872336185811,0,0,0
"187","Peros_Banhos_Verte","Phaethon_rubricauda",0,0,0,3,130,0.675,18.872336185811,0,0,0
"188","Peros_Banhos_Unnamed_Burtle","Phaethon_rubricauda",0,0,0,2,130,0.675,18.872336185811,0,0,0
"189","Peros_Banhos_Manon","Phaethon_rubricauda",0,0,0,2,130,0.675,18.872336185811,0,0,0
"190","Peros_Banhos_Pierre","Phaethon_rubricauda",0,0,0,150,130,0.675,18.872336185811,0,0,0
"191","Peros_Banhos_Petite_Mapou","Phaethon_rubricauda",0,0,0,10,130,0.675,18.872336185811,0,0,0
